session_id,timestamp,country,device_category,source,page_path,avg_session_duration_sec,bounce_rate,conversions,new_user,page_views,unique_page_views
SESS-300082,2025-11-10 08:52:01,United Kingdom,Desktop,Direct,/deals,151.6,,1,Yes,1,1
SESS-300083,2025-01-14 04:40:02,United Kingdom,Mobile,referral  ,/checkout,128.9,0.389,0,No,4,2
SESS-300084,2025-05-10 09:07:04,India,Desktop,Social,/product/fashion,178.4,0.58,1,Yes,1,1
SESS-300085,2025-10-18 12:20:57,Australia,Mobile,Organic Search,/product/books,201.4,0.523,0,No,3,2
SESS-300086,2025-06-04 13:47:48,United Kingdom,Desktop,Direct,/checkout,86.1,0.337,0,Yes,4,3
SESS-300087,2025-12-25 13:25:32,India,Desktop,Social,/product/fashion,368.6,0.555,0,Yes,2,1
SESS-300088,2025-06-21 02:23:20,United States,Mobile,Organic Search,/cart,109.4,0.335,0,Yes,5,3
SESS-300089,2025-08-29 22:22:54,Australia,Desktop,Organic Search,/home,198.9,0.448,0,Yes,1,1
SESS-300090,2025-01-24 13:46:32,United Kingdom,Desktop,Paid Search,/product/electronics,88.5,0.586,0,Yes,1,1
SESS-300091,2025-12-15 21:02:49,Canada,Mobile,Direct,/product/fashion,212.8,0.39,0,No,3,2
SESS-300092,2025-12-22 12:03:00,India,Mobile,Organic Search,/product/home-kitchen,255.2,0.435,1,Yes,1,1
SESS-300093,2025-05-15 13:47:18,United Kingdom,Desktop,Social,/account,118.6,0.588,0,Yes,1,1
SESS-300094,2025-09-20 03:30:06,India,Desktop,Organic Search,/checkout,192.0,0.561,0,No,2,1
SESS-300095,2025-08-16 06:42:00,United States,Tablet,Organic Search,/home,69.7,0.524,0,No,1,1
SESS-300096,2025-05-31 11:05:02,Mexico,Desktop,Social,/deals,214.2,0.467,0,Yes,1,1
SESS-300097,2025-05-06 10:44:00,India,Desktop,Paid Search,/deals,77.3,0.479,0,Yes,1,1
SESS-300098,2025-01-11 20:27:42,United States,Mobile,Organic Search,/product/electronics,138.4,0.436,0,No,2,1
SESS-300099,2025-05-10 10:02:39,United Kingdom,Desktop,Organic Search,/home,311.0,0.207,0,No,5,4
SESS-300100,2025-08-19 06:58:43,Mexico,Desktop,Email,/search,342.9,0.287,0,Yes,3,2
SESS-300101,2025-09-21 19:22:43,United Kingdom,Mobile,Email,/home,93.1,0.509,0,Yes,1,1
SESS-300102,2025-12-05 01:20:50,United Kingdom,Desktop,Paid Search,/checkout,128.7,0.383,0,No,1,1
SESS-300103,2025-10-14 04:33:55,India,Mobile,Referral,/home,188.0,0.501,0,Yes,1,1
SESS-300104,2025-01-14 04:24:06,United States,Mobile,Organic Search,/home,159.4,0.472,0,Yes,3,1
SESS-300105,2025-05-08 12:06:05,United States,Mobile,Paid Search,/search,272.0,0.526,0,Yes,1,1
SESS-300106,2025-12-15 11:27:27,India,Desktop,Direct,/home,169.6,0.287,0,Yes,2,1
SESS-300107,2025-08-09 01:41:05,United States,Desktop,Direct,/home,105.2,0.364,0,Yes,2,1
SESS-300108,2025-10-09 07:52:49,Canada,Mobile,Social,/product/fashion,150.0,0.785,0,Yes,1,1
SESS-300109,2025-06-12 03:46:56,India,Desktop,Paid Search,/deals,116.9,0.436,0,No,1,1
SESS-300110,2025-07-22 16:52:50,India,Desktop,Paid Search,/checkout,70.1,0.369,0,Yes,3,1
SESS-300111,2025-03-16 03:22:55,Australia,Mobile,Organic Search,/product/electronics,195.9,0.453,0,Yes,1,1
SESS-300112,2025-04-07 00:26:26,Canada,Mobile,Direct,/home,150.7,0.567,0,Yes,1,1
SESS-300113,2025-11-20 17:40:02,Australia,Mobile,Email,/product/electronics,140.1,0.343,0,Yes,2,1
SESS-300114,2025-11-11 07:50:22,United States,Mobile,Social,/product/electronics,84.4,0.704,0,No,1,1
SESS-300115,2025-08-13 02:32:37,India,Tablet,Organic Search,/checkout,455.5,0.542,0,Yes,1,1
SESS-300116,2025-10-24 06:17:02,Mexico,Desktop,Social,/home,161.1,0.502,0,No,3,2
SESS-300117,2025-03-13 23:36:56,United States,Desktop,Email,/product/electronics,262.6,0.298,0,Yes,1,1
SESS-300118,2025-08-03 19:22:47,United States,Mobile,Organic Search,/deals,152.9,0.498,0,No,2,1
SESS-300119,2025-05-18 14:05:04,United States,Desktop,organic search  ,/cart,80.9,0.337,0,Yes,3,2
SESS-300120,2025-07-23 22:36:08,Canada,Desktop,Referral,/deals,270.3,0.349,0,No,3,1
SESS-300121,2025-02-01 19:42:22,Canada,Mobile,Paid Search,/product/fashion,359.2,0.554,0,No,1,1
SESS-300122,2025-11-25 14:36:26,United States,Mobile,organic search  ,/search,29.8,0.455,0,No,1,1
SESS-300123,2025-11-01 21:55:32,United Kingdom,Desktop,Paid Search,/product/fashion,182.2,0.376,0,No,2,1
SESS-300124,2025-09-30 08:38:13,Other,Desktop,Direct,/deals,98.6,0.289,0,No,4,2
SESS-300125,2025-07-06 17:05:06,India,Desktop,Direct,/product/books,46.7,0.246,0,Yes,3,2
SESS-300126,2025-04-23 08:13:18,Canada,Desktop,Direct,/search,246.1,0.301,0,Yes,1,1
SESS-300127,2025-02-06 18:41:44,United States,Mobile,Paid Search,/product/electronics,114.5,0.609,0,No,1,1
SESS-300128,2025-06-27 12:28:49,Mexico,Mobile,Referral,/deals,63.5,0.345,0,No,4,3
SESS-300129,2025-08-26 03:54:51,Other,Mobile,Paid Search,/product/fashion,22.9,0.598,0,No,1,1
SESS-300130,2025-08-02 02:13:54,Australia,Mobile,Organic Search,/product/electronics,119.4,0.555,0,Yes,1,1
SESS-300131,2025-12-20 23:57:36,India,Desktop,Organic Search,/checkout,187.4,0.333,1,Yes,1,1
SESS-300132,2025-01-22 16:24:26,Australia,Mobile,Direct,/search,218.9,0.422,0,Yes,1,1
SESS-300133,2025-01-31 08:29:54,United States,Mobile,Paid Search,/cart,91.6,0.634,0,Yes,1,1
SESS-300134,2025-12-17 21:01:56,Canada,Tablet,Direct,/search,281.8,0.387,0,Yes,4,2
SESS-300135,2025-05-15 17:55:41,France,Mobile,Organic Search,/product/home-kitchen,86.8,0.524,0,Yes,1,1
SESS-300136,2025-08-27 22:45:11,Canada,Mobile,Organic Search,/search,26.1,0.558,0,Yes,1,1
SESS-300137,2025-08-10 18:14:17,United States,Desktop,direct  ,/checkout,355.0,0.25,1,Yes,8,5
SESS-300138,2025-12-14 13:38:19,United States,Mobile,Social,/product/fashion,34.3,0.533,0,Yes,2,1
SESS-300139,2025-05-10 20:39:14,India,Desktop,Referral,/product/electronics,126.6,0.365,0,Yes,1,1
SESS-300140,2025-07-13 15:25:17,United States,Desktop,Direct,/product/books,184.6,0.349,1,No,3,2
SESS-300141,2025-12-11 13:00:03,United States,Mobile,Organic Search,/deals,63.0,0.545,0,Yes,1,1
SESS-300142,2025-08-23 15:49:30,United States,Tablet,Direct,/home,229.4,0.382,0,Yes,6,3
SESS-300143,2025-11-28 07:09:16,United Kingdom,Mobile,Social,/product/fashion,50.2,0.595,0,Yes,2,1
SESS-300144,2025-01-14 11:38:19,United Kingdom,Mobile,Paid Search,/product/home-kitchen,173.5,0.43,0,No,1,1
SESS-300145,2025-11-28 23:24:22,India,Mobile,Direct,/product/fashion,132.3,0.433,0,No,1,1
SESS-300146,2025-02-07 07:02:20,Other,Mobile,Organic Search,/search,94.3,0.412,0,Yes,1,1
SESS-300147,2025-08-16 04:37:16,Other,Mobile,Paid Search,/product/fashion,114.0,0.474,0,Yes,1,1
SESS-300148,2025-09-07 23:11:06,Australia,Desktop,Direct,/home,108.6,0.269,0,No,1,1
SESS-300149,2025-07-06 03:49:10,France,Mobile,Email,/home,185.3,0.315,0,No,3,2
SESS-300150,2025-05-12 03:12:27,India,Desktop,Email,/deals,,0.256,0,Yes,3,2
SESS-300151,2025-12-11 08:06:51,Germany,Mobile,Social,/cart,190.8,0.544,0,No,1,1
SESS-300152,2025-06-04 18:00:52,India,Tablet,Paid Search,/deals,81.8,0.438,0,Yes,1,1
SESS-300153,2025-02-02 01:50:01,Canada,Mobile,Paid Search,/product/fashion,283.8,0.579,0,No,1,1
SESS-300154,2025-07-11 15:14:19,United Kingdom,Mobile,Organic Search,/product/fashion,193.2,0.51,1,Yes,1,1
SESS-300155,2025-08-28 22:44:32,Other,Desktop,Social,/deals,19.5,0.484,0,Yes,2,1
SESS-300156,2025-08-23 19:02:45,Germany,Desktop,Social,/checkout,112.3,0.413,0,Yes,1,1
SESS-300157,2025-08-02 08:27:00,United States,Mobile,social  ,/product/home-kitchen,261.1,0.584,0,Yes,1,1
SESS-300158,2025-09-25 03:57:55,United States,Mobile,Direct,/search,101.1,0.455,0,Yes,1,1
SESS-300159,2025-09-04 23:12:15,India,Mobile,Paid Search,/deals,76.0,0.478,0,No,1,1
SESS-300160,2025-01-24 23:34:51,Other,Desktop,Social,/home,36.5,0.549,0,Yes,1,1
SESS-300161,2025-06-07 08:11:02,India,Mobile,referral  ,/checkout,138.7,0.411,0,No,1,1
SESS-300162,2025-06-09 17:57:13,United States,Desktop,Paid Search,/account,74.3,0.334,0,No,4,3
SESS-300163,2025-03-03 19:40:00,India,Desktop,Organic Search,/account,220.3,0.381,0,Yes,2,1
SESS-300164,2025-05-27 09:59:06,India,Mobile,Organic Search,/home,119.0,0.423,0,Yes,2,1
SESS-300165,2025-08-27 13:58:11,India,Mobile,Referral,/search,52.7,0.354,1,Yes,1,1
SESS-300166,2025-10-21 15:07:47,India,Desktop,Organic Search,/account,144.4,0.366,0,Yes,5,4
SESS-300167,2025-05-07 21:42:35,India,Mobile,Paid Search,/home,201.9,0.545,0,Yes,1,1
SESS-300168,2025-11-27 09:54:47,United States,Mobile,Organic Search,/deals,361.9,0.448,0,Yes,1,1
SESS-300169,2025-11-13 09:49:52,Canada,Mobile,Organic Search,/deals,100.5,0.52,0,Yes,1,1
SESS-300170,2025-09-11 17:55:41,Germany,Mobile,Organic Search,/checkout,21.8,0.592,0,Yes,2,1
SESS-300171,2025-10-03 14:19:29,India,Mobile,Social,/home,146.9,0.562,0,Yes,3,2
SESS-300172,2025-02-24 03:53:07,Germany,Mobile,Paid Search,/product/fashion,252.5,0.428,0,No,1,1
SESS-300173,2025-03-10 12:43:57,United States,Desktop,Referral,/deals,51.7,0.461,0,No,2,1
SESS-300174,2025-09-07 20:54:04,United States,Mobile,Direct,/product/electronics,272.6,0.363,0,No,1,1
SESS-300175,2025-01-27 00:15:27,United States,Mobile,Organic Search,/deals,,0.437,0,Yes,2,1
SESS-300176,2025-10-14 05:02:35,Germany,Mobile,Direct,/product/home-kitchen,18.4,0.546,0,Yes,3,2
SESS-300177,2025-02-11 05:59:34,Germany,Mobile,Paid Search,/home,47.9,0.567,0,Yes,1,1
SESS-300178,2025-12-12 21:12:17,Canada,Mobile,Organic Search,/product/fashion,47.9,0.369,0,Yes,1,1
SESS-300179,2025-08-28 03:05:57,Canada,Desktop,Organic Search,/search,6.3,0.276,0,Yes,2,1
SESS-300180,2025-01-06 20:11:08,France,Mobile,Paid Search,/product/home-kitchen,73.2,0.662,0,No,1,1
SESS-300181,2025-03-27 05:47:14,United States,Desktop,Organic Search,/home,80.0,0.465,0,No,1,1
SESS-300182,2025-03-21 03:20:26,United States,Desktop,Paid Search,/checkout,69.3,0.345,1,Yes,1,1
SESS-300183,2025-07-08 21:13:38,Brazil,Mobile,Organic Search,/home,11.5,0.379,0,Yes,2,1
SESS-300184,2025-04-16 17:01:45,United States,Mobile,Paid Search,/home,120.5,0.654,0,No,1,1
SESS-300185,2025-09-13 12:49:53,United States,,Referral,/product/electronics,89.8,0.448,0,Yes,1,1
SESS-300186,2025-02-22 01:41:07,Canada,Mobile,Paid Search,/cart,13.8,0.527,0,Yes,1,1
SESS-300187,2025-01-21 10:31:04,Other,Tablet,Organic Search,/home,173.6,0.592,0,No,1,1
SESS-300188,2025-04-28 12:55:04,Brazil,Desktop,Social,/account,323.5,0.438,0,Yes,1,1
SESS-300189,2025-12-24 14:58:27,Canada,Desktop,Social,/product/fashion,83.8,0.507,0,Yes,1,1
SESS-300190,2025-12-06 04:09:20,United States,Desktop,Organic Search,/home,103.2,0.403,0,No,1,1
SESS-300191,2025-01-05 12:23:03,United States,Tablet,Organic Search,/cart,103.4,0.322,0,Yes,6,4
SESS-300192,2025-02-06 22:01:19,Germany,Desktop,Organic Search,/product/home-kitchen,200.8,0.281,0,Yes,1,1
SESS-300193,2025-03-03 06:17:55,United States,Desktop,Organic Search,/account,163.8,0.415,0,No,1,1
SESS-300194,2025-07-01 18:18:08,Canada,Mobile,Referral,/deals,305.2,0.424,0,Yes,1,1
SESS-300195,2025-12-18 09:59:25,India,Desktop,Direct,/home,320.5,0.217,0,No,5,3
SESS-300196,2025-05-06 10:53:23,Germany,Desktop,Paid Search,/home,9.9,0.436,0,Yes,2,1
SESS-300197,2025-03-28 02:01:12,United States,Desktop,Organic Search,/product/fashion,92.9,0.375,0,No,2,1
SESS-300198,2025-01-15 13:11:09,United Kingdom,Mobile,Direct,/product/electronics,221.6,0.534,0,Yes,1,1
SESS-300199,2025-08-10 05:01:42,Canada,Mobile,Paid Search,/search,73.7,0.559,1,No,2,1
SESS-300200,2025-08-21 19:46:06,Canada,Mobile,Direct,/product/electronics,224.3,0.297,0,Yes,6,5
SESS-300201,2025-10-08 11:06:17,United States,Mobile,Direct,/home,208.6,0.436,0,Yes,1,1
SESS-300202,2025-01-07 21:08:00,United States,Desktop,Paid Search,/cart,107.0,0.384,0,Yes,6,3
SESS-300203,2025-01-31 06:30:33,Other,Mobile,Organic Search,/product/electronics,192.1,0.462,0,No,2,1
SESS-300204,2025-12-23 19:42:21,Canada,Mobile,Email,/checkout,112.9,0.424,0,Yes,1,1
SESS-300205,2025-10-30 11:15:40,India,Desktop,organic search  ,/cart,126.0,0.407,0,No,1,1
SESS-300206,2025-08-25 17:32:10,India,Mobile,Organic Search,/home,192.3,0.494,0,Yes,2,1
SESS-300207,2025-04-22 20:44:11,United States,Mobile,Organic Search,/deals,17.2,0.594,0,Yes,1,1
SESS-300208,2025-09-30 22:53:54,United States,Desktop,Organic Search,/product/electronics,359.1,0.336,0,Yes,3,2
SESS-300209,2025-04-06 06:26:23,Other,Desktop,Organic Search,/product/home-kitchen,78.5,0.347,0,Yes,1,1
SESS-300210,2025-01-19 00:57:59,United Kingdom,Desktop,Referral,/product/fashion,236.8,0.337,0,Yes,5,3
SESS-300211,2025-09-08 01:13:11,United States,Desktop,Direct,/product/electronics,429.4,0.337,0,No,4,2
SESS-300212,2025-01-19 03:02:17,United Kingdom,Desktop,Organic Search,/home,181.8,0.449,0,Yes,1,1
SESS-300213,2025-01-24 13:43:28,United States,Desktop,Referral,/product/fashion,125.5,0.365,0,Yes,1,1
SESS-300214,2025-04-06 10:12:39,United Kingdom,Mobile,Paid Search,/deals,76.7,0.467,0,Yes,1,1
SESS-300215,2025-08-16 17:14:22,India,Mobile,Organic Search,/checkout,250.9,0.425,0,Yes,1,1
SESS-300216,2025-10-26 18:41:01,United Kingdom,Mobile,Referral,/cart,173.5,0.354,0,Yes,6,5
SESS-300217,2025-05-26 06:36:05,Canada,Desktop,Organic Search,/deals,94.5,0.434,0,Yes,2,1
SESS-300218,2025-10-10 00:00:24,India,Desktop,Organic Search,/search,64.9,0.41,0,No,2,1
SESS-300219,2025-08-16 07:08:09,United Kingdom,Mobile,Paid Search,/deals,220.1,0.659,0,No,1,1
SESS-300220,2025-05-27 06:04:36,France,Desktop,Social,/home,160.9,0.524,0,No,1,1
SESS-300221,2025-10-17 07:59:41,United States,Mobile,Direct,/product/fashion,283.5,0.473,0,Yes,1,1
SESS-300222,2025-07-17 11:37:35,Canada,Mobile,Direct,/product/home-kitchen,556.9,0.374,0,Yes,3,2
SESS-300223,2025-02-25 12:37:49,India,Mobile,Organic Search,/product/electronics,178.4,0.532,0,Yes,1,1
SESS-300224,2025-11-04 10:18:19,Other,Desktop,Referral,/deals,134.7,0.365,1,Yes,1,1
SESS-300225,2025-04-24 08:11:47,United States,Desktop,Organic Search,/deals,,0.457,0,Yes,1,1
SESS-300226,2025-09-07 12:53:55,Germany,Mobile,Social,/product/fashion,10.5,0.757,0,No,2,1
SESS-300227,2025-12-12 01:16:16,Canada,Desktop,Direct,/checkout,82.5,0.311,0,Yes,1,1
SESS-300228,2025-07-19 22:04:14,United Kingdom,Desktop,Social,/product/books,181.7,0.451,0,No,1,1
SESS-300229,2025-02-18 06:55:32,India,Desktop,Direct,/product/fashion,254.7,0.346,0,Yes,2,1
SESS-300230,2025-06-03 18:02:44,Japan,Mobile,Direct,/home,180.6,0.473,0,Yes,1,1
SESS-300231,2025-11-27 15:19:47,India,Desktop,Organic Search,/home,10.0,0.286,1,Yes,3,2
SESS-300232,2025-04-28 20:35:23,Canada,Desktop,Email,/deals,533.2,0.351,0,Yes,6,4
SESS-300233,2025-10-22 20:12:42,India,Mobile,Organic Search,/product/fashion,195.5,0.376,0,Yes,6,5
SESS-300234,2025-06-01 04:43:40,United States,Mobile,Paid Search,/home,98.5,0.531,0,No,2,1
SESS-300235,2025-09-07 13:31:20,United Kingdom,Mobile,Direct,/product/electronics,113.8,0.415,0,Yes,1,1
SESS-300236,2025-09-28 00:31:07,Germany,Desktop,Paid Search,/product/electronics,152.5,0.447,0,Yes,1,1
SESS-300237,2025-11-18 17:50:53,United Kingdom,Desktop,Referral,/home,75.6,0.297,0,Yes,5,3
SESS-300238,2025-09-11 23:14:52,Japan,Mobile,Direct,/product/electronics,202.0,0.32,0,No,1,1
SESS-300239,2025-12-20 15:37:33,India,Mobile,Paid Search,/deals,41.1,0.492,0,No,1,1
SESS-300240,2025-01-08 18:04:15,Other,Mobile,Direct,/home,121.2,0.371,0,Yes,1,1
SESS-300241,2025-03-15 23:41:17,Australia,Desktop,Organic Search,/home,52.8,0.426,0,Yes,1,1
SESS-300242,2025-10-01 14:59:43,United States,Desktop,Direct,/home,56.3,0.316,0,Yes,1,1
SESS-300243,2025-07-05 23:49:07,United States,Mobile,Email,/product/electronics,133.8,0.378,0,No,4,2
SESS-300244,2025-04-29 16:30:37,Other,Mobile,organic search  ,/cart,158.0,0.518,0,No,1,1
SESS-300245,2025-06-02 12:56:50,Canada,Desktop,Paid Search,/product/electronics,280.4,0.489,0,No,1,1
SESS-300246,2025-06-17 22:11:00,Other,Mobile,Organic Search,/deals,81.4,0.537,0,Yes,1,1
SESS-300247,2025-04-12 23:37:31,India,Mobile,Email,/home,8.0,0.42,0,Yes,1,1
SESS-300248,2025-07-14 12:32:49,United States,,Email,/account,228.7,0.393,0,Yes,2,1
